gene,Epi_mock1,Epi_mock2,Epi_mock3,Epi_KD1,Epi_KD2,Epi_KD3,Fib_mock1,Fib_mock2,Fib_mock3,Fib_KD1,Fib_KD2,Fib_KD3
ESCO2,397,867,604,467,507,417,342,284,352,224,312,342
RNU6-1276P,0,0,0,0,0,0,0,0,0,0,0,0
PBK,1290,2407,1909,1687,1618,1471,1385,1078,1631,1070,1718,1674
LOC100130612,0,0,0,0,0,0,0,0,0,0,0,0
SCARA5,0,0,0,0,0,0,1,0,1,0,1,0
MIR4287,0,0,0,0,0,0,0,0,0,0,0,0
LOC105379342,0,0,0,0,0,0,0,0,0,0,0,0
NUGGC,5,2,4,1,0,0,0,0,0,0,1,0
ELP3,802,1560,1175,787,916,850,598,529,571,442,508,553
RPL5P22,0,1,0,0,0,0,0,0,0,0,0,0
PNOC,0,1,0,0,0,0,0,0,0,0,0,0
ZNF395,342,736,520,416,490,459,395,304,379,410,391,368
FBXO16,76,112,77,82,77,68,0,0,0,0,0,0
RNU6-178P,0,1,0,0,0,0,0,0,0,0,0,0
FZD3,82,197,181,132,147,155,2,0,0,2,1,2
MIR4288,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP259,0,0,0,0,0,0,0,0,0,0,0,0
EXTL3,588,1418,1204,621,1109,1027,2061,1705,1699,2080,1501,1903
EXTL3-AS1,4,10,7,3,5,2,4,2,1,0,2,1
INTS9,245,499,389,319,374,409,295,206,243,192,237,257
RPL36AP32,1,0,0,0,0,0,0,1,0,0,0,0
HMBOX1,210,455,340,273,266,318,300,276,352,243,323,258
RNA5SP260,0,1,0,0,0,0,1,0,0,0,0,0
KIF13B,223,728,644,425,880,856,149,93,215,141,176,218
HMGB1P23,0,2,0,0,0,1,0,0,0,0,0,0
DUSP4,716,1354,1157,334,320,347,31,33,28,10,19,28
LOC105379350,1,0,3,2,0,0,0,0,1,0,0,0
RPL17P33,0,0,0,0,0,0,0,0,0,0,0,0
LINC00589,0,0,0,0,0,0,0,0,0,0,1,0
LINC02099,0,0,0,0,0,0,0,0,0,0,0,0
LOC101929470,0,1,0,0,0,0,0,0,0,0,0,0
LINC02209,0,0,0,0,0,0,0,0,0,0,0,0
MIR3148,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-1218P,0,0,0,0,0,0,0,0,0,0,0,0
SARAF,1332,2278,1921,1960,1803,1948,1949,1761,2150,2132,2095,1872
LEPROTL1,713,1360,1191,986,990,1033,820,726,793,833,747,827
RPS15AP24,1,2,0,0,0,0,0,0,0,0,0,0
MBOAT4,0,3,8,0,3,2,0,0,2,0,0,2
DCTN6-DT,14,28,22,6,10,6,11,10,10,2,7,12
DCTN6,351,581,408,448,355,316,320,341,344,284,362,355
TAGLN2P2,0,0,0,0,0,0,0,0,0,0,0,0
PPIAP84,0,0,0,0,0,0,0,0,0,0,0,0
RBPMS-AS1,46,79,69,72,62,50,5,9,9,8,8,8
RBPMS,875,1180,1171,1585,1747,1436,988,770,939,945,964,895
GTF2E2,529,724,710,830,749,796,733,714,849,780,872,819
SMIM18,0,0,1,0,1,1,0,1,0,0,1,0
RNU5A-3P,0,1,0,0,0,0,0,0,0,0,0,0
GSR,4251,7444,5662,5264,5637,4643,1947,2052,2192,1044,1468,1089
UBXN8,173,309,294,540,544,449,208,202,221,199,230,259
HIKESHIP3,0,0,0,0,0,0,0,0,0,0,0,2
PPP2CB,2003,3539,3186,3095,3211,3408,3902,3801,3900,3911,4121,4055
TEX15,0,0,0,1,0,0,0,0,0,0,1,3
LPGAT1P1,0,0,0,0,0,0,0,0,0,0,0,1
PURG,0,1,0,0,0,0,2,3,0,10,14,8
WRN,342,750,589,261,463,428,317,221,313,289,329,353
SUMO2P16,0,0,0,0,1,0,0,0,0,0,0,0
RNA5SP261,0,0,0,0,0,0,0,0,0,0,0,0
NRG1,467,946,792,772,995,901,1197,1307,1134,1510,887,919
NRG1-IT1,0,0,0,0,0,0,0,0,0,1,0,0
RNA5SP262,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP263,0,0,0,0,0,0,0,0,0,0,0,0
NRG1-IT3,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-663P,0,0,0,0,0,0,0,0,0,0,0,1
MTND1P6,0,0,0,0,0,0,0,0,0,0,0,0
MTND2P32,0,0,0,0,0,0,0,0,0,0,0,0
RANP9,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-528P,0,0,0,0,0,0,0,0,0,0,0,0
FUT10,140,272,268,255,295,293,119,141,203,201,207,174
TTI2,202,450,327,268,253,299,243,244,203,235,238,205
MAK16,283,571,528,520,499,534,453,481,488,369,463,437
SNORD13,0,0,0,0,0,0,0,0,0,0,0,0
LOC124900261,0,0,0,0,0,0,0,0,0,0,0,0
RPL10P18,2,0,0,0,0,0,0,0,0,0,0,0
RNF122,32,31,49,50,75,57,37,48,40,66,42,44
RN7SL621P,0,0,0,0,0,0,0,0,0,0,0,0
DUSP26,0,0,1,0,0,0,0,0,0,0,0,0
BUD31P1,0,0,0,0,0,0,0,0,0,0,0,0
RN7SL457P,0,0,0,0,0,0,0,0,0,0,0,0
RPL6P22,0,0,0,6,5,4,0,0,0,0,0,0
CYCSP3,0,1,0,0,0,0,0,0,0,0,2,0
RPL10AP3,0,0,0,0,0,0,0,0,0,0,0,0
RPL21P80,21,33,28,46,34,33,3,1,4,7,6,2
UNC5D,0,0,0,0,0,0,0,0,0,0,0,0
LOC124902062,0,0,0,0,0,0,0,0,0,0,1,0
MTCYBP19,0,0,0,0,0,0,0,0,0,0,0,0
MTND6P19,0,0,0,0,0,0,0,0,0,0,0,0
MTND5P41,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-533P,0,0,0,0,0,0,0,0,0,0,0,0
LOC124906685,0,0,0,0,0,0,0,0,0,0,0,0
RPL23P10,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP264,0,0,0,0,0,0,0,0,0,0,0,0
KCNU1,0,0,0,0,1,0,5,7,7,5,5,5
MRPS7P1,0,0,0,0,0,0,0,0,0,0,0,0
RPL26P25,0,0,0,0,0,0,0,0,0,0,0,0
LOC100507403,1,0,1,0,0,1,0,0,1,0,0,3
LINC01605,0,0,0,0,0,0,156,174,120,156,88,129
RNU6-607P,0,0,0,0,0,0,0,0,0,0,0,0
ZNF703,20,25,18,58,67,60,1451,1114,1475,1190,1417,1301
LOC102723701,3,6,1,5,3,1,6,2,4,4,4,7
ERLIN2,650,1245,1236,1120,1431,1549,1485,1523,1320,1790,1323,1434
PLPBP,1117,2038,1750,1469,1616,1596,1107,1061,1064,1010,1005,996
ADGRA2,7,14,7,6,12,3,1615,1229,1359,2698,1498,1814
BRF2,109,222,151,120,154,162,158,162,175,154,176,169
RAB11FIP1,243,582,550,291,645,643,4,12,3,10,4,3
RN7SL709P,0,0,0,0,0,0,0,0,0,0,0,0
GOT1L1,0,0,0,0,0,0,0,0,0,0,0,0
ADRB3,0,0,0,0,0,0,0,0,0,0,0,0
EIF4EBP1,2637,3503,3073,5286,3881,3558,1264,1163,1710,1115,1735,1374
ASH2L,719,1370,1076,685,780,709,1171,910,1037,896,1097,1177
RNU6-988P,0,0,0,0,0,0,0,1,0,0,0,0
STAR,3,2,1,1,5,0,3,1,2,8,2,3
LSM1,301,510,456,348,337,392,453,489,485,507,487,504
RNU6-323P,0,2,0,2,2,0,1,0,0,1,0,0
BAG4,236,490,384,467,544,543,379,385,419,482,427,477
DDHD2,747,1713,1297,533,708,679,890,641,752,545,659,715
PLPP5,282,430,339,258,244,233,879,794,950,815,869,807
NSD3,815,1993,1691,1025,1422,1466,1455,1173,1481,1196,1363,1345
LETM2,67,55,74,143,141,142,99,118,97,113,74,99
FGFR1,329,633,650,969,1442,1242,2820,2167,2559,2582,2551,2637
LINC03042,0,1,0,0,0,0,0,0,0,0,0,0
TACC1,224,601,463,322,411,366,5817,5079,4856,4625,4311,4191
PLEKHA2,114,325,252,292,413,445,1809,1653,1397,1564,1339,1487
HTRA4,0,1,0,0,0,1,1,2,2,6,2,5
TM2D2,503,1007,743,844,781,827,1381,1261,1327,1479,1452,1416
ADAM9,4064,7888,6703,4411,6627,6621,11572,10810,10775,14190,10805,11317
SNORD38D,0,0,0,0,0,0,0,0,0,0,0,0
ADAM32,29,33,11,30,26,40,7,4,13,6,12,5
LOC100420403,0,0,0,0,0,0,0,0,0,0,0,0
ADAM5,0,1,0,0,0,0,0,0,0,0,0,0
ADAM18,0,0,0,0,0,0,0,0,0,0,0,0
ADAM2,0,0,0,0,0,0,0,1,0,0,0,0
RPL7AP80,0,0,0,0,0,0,0,0,0,0,0,0
IDO1,0,0,0,0,0,0,0,0,0,0,0,0
IDO2,0,0,0,0,0,0,0,0,0,0,0,2
LOC100420944,0,0,0,0,0,0,0,0,0,0,0,0
TCIM,1,0,0,3,0,0,3,0,2,0,0,0
SIRLNT,0,0,0,0,0,0,0,0,0,0,1,0
LOC105379388,0,0,0,0,0,0,0,0,0,0,0,0
ZMAT4,0,0,0,0,0,1,0,0,0,0,0,0
RNU6-356P,0,0,0,0,0,0,0,0,0,0,0,0
SFRP1,0,0,0,0,0,0,22,60,39,91,33,54
MIR548AO,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-895P,0,0,0,0,0,0,0,0,0,0,0,0
SNORD65B,0,0,0,0,0,0,0,0,0,0,0,0
GOLGA7,657,1229,889,943,892,826,1020,901,950,1084,1000,979
KRT18P37,1,0,0,1,1,0,0,0,0,0,0,0
GINS4,640,1165,958,717,799,746,369,290,272,241,268,339
GPAT4,1050,2194,1562,1026,1473,1438,1611,1285,1395,1280,1382,1565
NKX6-3,0,0,0,0,0,0,0,0,0,0,1,0
ANK1,2,6,2,6,9,13,2,3,7,7,3,2
MIR486-1,0,0,0,0,0,0,0,0,0,0,0,0
MIR486-2,0,0,0,0,0,0,0,0,0,0,0,0
RN7SL149P,0,0,0,0,0,0,0,0,0,0,0,0
KAT6A,636,1787,1459,592,978,1042,1054,721,900,771,784,895
LOC124900271,0,0,0,1,0,0,0,0,0,0,0,0
RPL17P30,0,0,0,0,0,0,0,0,0,0,0,0
AP3M2,216,367,371,292,372,378,486,403,530,518,529,534
PLAT,3,17,8,21,31,24,1745,1334,1705,3860,2756,3021
IKBKB-DT,2,8,2,1,1,1,4,0,2,0,1,1
IKBKB,413,556,578,365,467,511,869,661,893,846,976,888
POLB,351,505,417,423,342,303,239,208,250,200,257,203
RPL5P23,3,7,3,4,2,3,3,2,3,6,8,9
DKK4,0,0,0,0,0,0,0,0,0,0,0,0
VDAC3,2035,3393,2694,2118,1980,2010,2407,2101,2459,1833,2281,2266
SLC20A2,1664,3203,2306,2117,2401,2460,2652,2171,3031,1885,2499,2166
SMIM19,557,1018,656,666,574,460,229,186,207,202,229,222
CHRNB3,0,0,0,0,0,0,0,0,0,0,0,0
CHRNA6,0,0,0,0,0,0,0,0,0,0,0,0
THAP1,153,261,314,288,281,275,249,223,237,216,231,250
RNF170,313,572,415,389,443,387,459,365,416,462,387,447
RN7SL806P,0,0,0,0,0,0,1,0,0,0,0,0
MIR4469,0,0,0,0,1,0,0,0,0,0,0,0
HOOK3,216,439,433,310,397,378,1057,918,1033,1269,1151,1284
FNTA,712,1338,1036,867,952,970,848,690,973,744,937,949
RNU1-124P,0,0,0,1,0,1,0,0,0,2,0,0
POMK,27,127,65,22,60,56,49,42,36,29,23,33
HGSNAT,510,1089,702,412,531,481,2620,1839,1888,2470,2015,2453
VN1R46P,0,0,0,0,0,0,0,0,0,0,0,0
POTEA,0,0,0,3,0,0,0,0,0,0,0,0
RNU6-104P,0,0,0,0,0,0,0,0,0,0,0,0
LOC124902100,0,0,0,0,0,0,0,0,0,0,0,0
LOC100420534,0,0,0,0,0,0,0,0,0,0,0,0
SNX18P27,0,0,0,0,0,0,0,0,0,1,0,0
CYP4F44P,0,0,0,0,0,0,0,0,0,0,0,0
HSPA8P13,0,0,0,0,0,0,0,0,0,0,0,0
ASNSP4,0,0,0,0,0,0,0,0,0,0,0,0
LOC100130861,0,0,0,0,0,0,0,1,0,0,0,0
LINC00293,0,0,0,0,0,0,0,0,0,0,0,0
MTND2P38,0,0,0,0,0,0,0,0,0,0,0,0
MTND1P7,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-656P,0,0,0,0,0,0,0,0,0,0,0,0
MTCYBP20,0,0,0,0,0,0,0,0,0,0,0,0
MTND6P20,0,0,0,0,0,0,0,0,0,0,0,0
LOC728587,0,0,0,0,0,0,0,0,0,0,0,0
LOC105375814,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP32,0,0,0,0,0,0,0,1,0,0,0,0
RNU6-819P,0,0,0,0,0,0,0,0,0,0,0,0
RPL10AP2,0,1,0,2,0,0,0,2,0,2,0,1
ATP6V1G1P2,0,0,0,0,0,0,0,0,0,0,0,0
SPIDR,497,998,864,588,704,622,556,455,613,628,574,568
LOC100420532,0,0,1,0,0,0,0,0,0,0,0,0
RNU6-665P,0,0,0,0,0,0,0,0,0,1,0,1
CEBPD,252,357,295,401,349,308,140,236,164,400,142,99
PRKDC,2204,6678,5917,2424,5138,5396,5722,4041,4736,4361,4410,4996
MCM4,3840,7104,5871,4917,5557,5079,2628,1817,2457,1683,2601,2629
RNU6-519P,1,0,1,0,0,1,0,0,0,0,0,0
UBE2V2,1027,1966,1605,1672,1770,1645,1844,1579,1833,1611,1923,1844
RNU6-295P,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP531,0,0,0,0,0,0,0,0,0,0,0,0
LINC02947,0,0,0,0,0,0,0,0,0,0,0,0
LOC101929268,0,0,0,0,0,0,3,0,0,0,2,0
CLXN,0,0,0,0,0,0,17,6,7,6,8,6
SNAI2,0,2,0,2,5,2,2334,1972,2362,1832,1956,2138
PPDPFL,0,0,0,0,0,0,0,0,0,0,0,0
LOC105375826,0,0,0,0,0,0,0,0,0,0,0,0
SNTG1,0,0,0,0,0,0,0,0,0,0,1,0
LOC100422267,0,0,0,0,0,0,0,0,0,0,0,0
LOC124902078,0,0,0,0,0,0,0,0,0,0,0,0
PXDNL,3,2,3,0,1,1,1,0,0,0,0,0
BRIX1P1,0,0,0,0,0,0,0,0,0,0,0,0
PCMTD1,259,620,408,156,185,188,560,476,660,641,599,512
PCMTD1-DT,51,90,68,31,38,38,23,31,21,14,21,16
ST18,0,0,0,0,0,0,1,1,0,0,1,0
LOC101929341,0,0,0,0,0,0,0,0,0,0,0,0
RPL34P17,0,0,0,0,0,0,0,0,0,0,0,0
ALKAL1,0,0,0,0,0,0,0,1,0,0,1,0
RB1CC1,916,1879,1619,1260,1587,1662,1245,1128,1381,1340,1498,1213
OPRK1,1,0,0,0,0,0,0,0,0,0,0,0
LINC02984,0,0,0,0,1,0,26,18,16,19,13,14
LOC100129667,0,0,0,0,0,0,0,0,0,0,0,0
ATP6V1H,852,1590,1204,1046,1097,994,1231,1231,1169,1250,1076,1247
RGS20,36,45,50,58,52,67,424,444,393,451,371,534
RNU6-1331P,0,0,0,0,0,0,1,0,3,3,2,0
TCEA1,3293,6124,5542,5279,6119,5437,2074,1553,2582,1660,2376,2005
LYPLA1,1099,1982,1726,1607,1746,1661,946,805,1013,757,1007,1077
MRPL15,674,1068,942,1291,1070,958,1135,1063,1218,974,1177,1398
RNU6ATAC32P,0,0,0,0,0,1,0,0,1,0,0,0
RNU105C,0,0,0,0,0,0,0,0,0,0,0,0
LOC100419615,0,0,0,0,0,0,0,0,0,0,0,0
RN7SL250P,0,0,0,0,0,0,0,0,0,0,0,0
SOX17,3,3,7,62,58,57,0,0,0,0,0,0
RP1,0,0,0,1,0,0,0,1,0,0,0,0
XKR4,0,0,0,1,0,0,0,0,0,2,0,0
LOC105375844,0,0,0,0,0,0,0,1,0,0,0,0
SBF1P1,0,0,0,0,0,0,0,0,0,0,0,0
XKR4-AS1,0,0,0,0,0,0,0,0,0,0,0,0
TMEM68,342,570,535,397,450,417,294,287,331,276,309,222
RNA5SP265,0,0,0,0,0,0,0,0,0,0,0,0
TGS1,430,884,647,474,616,663,487,384,402,329,390,460
LYN,257,491,380,307,352,264,603,510,536,346,389,405
SNORA1B,0,0,1,0,0,0,0,0,0,0,0,0
RN7SL798P,0,0,0,0,0,0,0,0,0,0,0,0
RN7SL323P,0,0,0,1,0,0,0,0,0,0,0,0
RPS20,8866,13923,10847,16537,12213,10996,10727,9319,12354,10079,12638,10788
SNORD54,0,0,0,0,0,0,0,0,0,0,0,0
MOS,0,0,0,0,0,0,0,0,0,0,0,0
LOC124900263,0,0,0,0,0,0,0,0,0,0,0,0
PLAG1,0,3,1,1,0,1,129,106,156,218,170,190
CHCHD7,264,440,377,425,417,425,365,360,334,368,411,396
SDR16C5,0,0,0,0,0,0,0,0,0,0,0,0
PENK,0,0,0,0,0,0,1,1,2,4,1,3
PENK-AS1,0,0,1,0,0,0,0,0,0,0,0,0
LINC00968,0,0,0,0,0,0,6,2,1,23,6,15
LOC105375851,0,0,0,0,0,0,0,0,0,0,0,0
LOC100419616,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-13P,0,0,0,0,0,0,0,0,0,0,0,0
BPNT2,1653,3894,2965,2419,3146,2908,2825,2570,2828,2855,2706,2973
RNA5SP266,0,0,0,0,0,0,0,0,0,0,0,0
LINC01606,0,0,0,3,2,1,0,1,0,0,0,0
LOC286177,0,0,0,0,0,0,0,0,0,0,0,0
LINC00588,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-596P,0,0,0,0,0,0,0,0,0,0,0,0
LOC101929488,0,0,0,0,0,0,0,0,0,0,0,0
RPL30P10,0,0,0,0,0,0,0,0,0,0,0,0
LINC03018,0,0,0,0,0,0,0,0,0,0,0,1
LINC01602,0,0,1,0,0,0,0,0,0,0,0,0
FAM110B,0,0,0,0,1,0,0,0,0,0,0,0
RPL26P26,0,0,0,0,0,0,0,0,0,0,0,0
LINC03133,0,0,0,0,0,0,0,0,0,0,0,0
UBXN2B,324,536,591,427,493,550,58,42,49,57,56,54
CYP7A1,1,0,0,0,0,0,0,0,0,0,0,0
SDCBP,1426,2599,1939,1385,1303,1416,5828,5948,6120,4308,4891,4684
NSMAF,552,949,860,749,915,872,2107,1719,2330,1577,2264,1846
TOX,21,32,35,140,163,130,415,437,482,317,352,240
RNU4-50P,0,0,0,0,0,0,0,0,0,1,0,0
TOX-DT,23,6,15,65,54,50,79,81,91,51,69,43
LOC124900267,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP267,0,0,0,0,0,0,0,0,0,0,0,0
LOC105375861,0,0,0,0,0,0,0,0,0,0,0,0
SLC2A13P1,0,0,0,0,0,0,0,0,0,0,0,0
CA8,0,0,0,0,0,0,0,0,0,0,3,0
RAB2A,906,1793,1620,918,794,847,2282,2181,2549,1820,2114,1835
CHD7,1093,2612,1919,1155,1474,1573,39,41,22,8,19,14
CLVS1,0,1,0,2,2,2,0,1,1,1,3,0
ASPH,10098,22292,18168,13156,19461,17817,19097,17846,18489,17194,16649,17460
KRT8P3,5,7,4,3,9,3,6,4,4,6,4,1
RN7SKP97,0,1,3,1,1,0,5,2,1,0,7,6
MIR4470,0,2,0,0,3,1,2,1,1,0,0,1
LINC02842,6,3,5,0,3,1,0,0,0,0,0,0
C1GALT1P3,3,0,0,0,0,0,0,0,0,0,0,0
NARS1P2,1,0,0,2,0,0,0,0,0,0,0,0
NKAIN3,0,0,0,0,0,0,0,0,0,0,0,0
XRCC6P4,0,0,0,0,0,0,0,0,0,0,0,0
SRPK2P,0,0,0,0,0,0,0,0,0,0,0,0
GGH,1179,2352,1608,1639,1307,1331,1243,1111,1464,1173,1593,1274
TTPA,2,4,4,6,3,5,0,0,0,0,0,0
YTHDF3,718,1652,1417,1037,1407,1320,1441,1094,1323,1677,1387,1605
RN7SL135P,0,0,0,0,0,0,0,0,0,0,0,0
LOC105375875,0,0,0,0,0,3,1,0,0,0,0,0
RN7SKP135,0,0,0,0,0,0,0,0,0,0,0,0
LINC01414,0,0,0,0,0,0,0,0,0,0,0,0
LINC01289,0,0,0,0,0,0,0,0,0,1,0,0
COX6CP8,0,0,0,0,0,0,0,0,0,0,0,0
MIR124-2HG,1,0,0,0,0,0,0,0,0,0,0,0
MIR124-2,0,0,0,0,0,0,0,0,0,0,0,0
LOC107986878,0,0,0,0,0,0,0,0,0,0,0,0
BHLHE22-AS1,0,0,0,0,0,0,0,0,0,0,0,0
BHLHE22,0,0,0,0,0,0,0,0,0,0,0,0
CYP7B1,0,0,0,0,0,0,0,1,0,0,0,0
LOC105375878,0,0,0,0,0,0,0,0,0,0,0,0
RPL31P41,0,0,0,0,0,0,0,0,0,0,0,0
LINC00251,0,0,0,0,0,0,0,0,0,0,0,0
PPIAP86,0,0,0,0,0,0,0,0,0,0,0,0
LINC01299,0,0,1,0,1,0,0,0,0,0,0,0
ARMC1,772,1335,1068,653,595,635,1136,985,1087,865,1011,1008
MTFR1,605,1256,1002,548,670,696,710,654,853,514,782,627
PDE7A,293,611,405,293,425,332,279,216,279,202,272,205
DNAJC5B,0,0,0,0,0,1,0,0,0,1,0,0
TRIM55,1,2,1,4,2,2,12,12,2,20,5,6
CRH,0,0,0,0,0,0,0,0,0,0,0,0
LINC00967,0,0,0,0,0,0,0,0,0,0,0,0
RRS1-DT,3,3,2,0,0,0,3,0,0,0,0,0
RRS1,540,830,909,887,1058,1038,691,561,669,485,623,788
ADHFE1,17,30,8,8,6,8,9,8,7,5,4,9
VXN,0,0,0,0,1,0,1,0,0,2,2,0
RNU6-1324P,0,0,0,0,0,0,0,1,0,0,0,1
MYBL1,181,430,319,153,197,192,1514,1135,1082,1060,1031,1156
VCPIP1,329,740,582,346,512,490,596,522,547,589,509,607
SGK3,118,283,164,111,99,132,324,297,291,404,292,277
PTTG3P,2,3,0,0,0,2,0,0,0,1,0,0
MCMDC2,5,11,7,9,12,6,14,20,14,12,18,20
SNORD87,0,0,0,0,0,0,0,0,0,0,0,0
TCF24,0,0,0,0,0,0,0,0,0,0,0,0
PPP1R42,1,2,3,1,0,0,2,0,0,0,0,0
LOC100288001,0,0,1,0,0,0,0,0,0,0,3,0
COPS5,693,1252,987,1198,1015,1070,1035,963,1010,985,1057,1000
CSPP1,295,660,508,565,466,451,316,284,319,338,428,347
RNA5SP268,0,0,2,0,1,0,0,0,0,0,0,0
ARFGEF1,1294,3675,2714,1154,2004,1799,1641,1470,1461,1328,1250,1220
ARFGEF1-DT,3,16,11,4,4,7,5,2,3,2,1,5
RPL17P31,0,0,0,0,0,0,0,0,0,0,0,0
CPA6,0,0,1,0,0,0,0,0,0,0,0,0
NACAP10,0,0,0,0,0,0,0,0,0,0,0,0
NDUFS5P6,0,0,0,0,0,0,0,0,0,0,0,0
PREX2,22,32,44,54,88,82,0,2,0,0,0,0
LOC105375888,0,0,0,0,0,0,0,0,0,0,0,0
C8orf34-AS1,0,2,0,7,6,7,0,0,0,0,0,0
C8orf34,4,7,8,11,16,4,19,15,19,31,24,27
RPS15AP25,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP269,0,0,0,0,0,0,0,0,0,0,0,0
LOC107986951,0,0,0,0,0,0,3,0,1,0,6,0
LINC01592,0,0,0,0,0,0,14,5,6,18,5,21
RNU7-102P,0,0,0,0,0,0,0,0,0,0,0,0
LINC01603,0,0,0,0,0,0,0,0,0,0,0,0
SULF1,6,19,4,0,5,0,5690,2643,6002,16528,7380,9566
SLCO5A1,0,0,0,0,0,0,2,7,3,8,4,3
RN7SKP29,0,0,0,0,0,0,0,0,0,0,0,0
SLCO5A1-AS1,0,0,0,0,0,0,0,0,0,0,0,0
LOC100288097,0,0,0,0,0,0,0,0,0,0,0,0
RN7SL675P,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP270,0,0,0,0,0,0,0,0,0,0,0,0
PRDM14,0,0,0,0,0,0,0,0,0,0,0,0
RNU1-101P,0,0,0,0,0,0,0,0,0,0,0,0
NCOA2,457,1553,1062,310,543,517,440,314,362,401,353,354
RNY3P14,0,0,0,0,0,0,0,0,0,0,0,0
RPS18P11,0,0,0,0,0,0,0,0,0,0,0,0
LINC03020,0,0,0,0,0,0,0,0,0,0,0,0
RN7SL203P,0,0,0,0,0,0,0,0,0,0,0,0
RPL13P11,0,0,0,0,0,0,0,0,0,0,0,0
TRAM1,1665,3149,2486,2065,2254,2269,6320,5134,7094,7518,6727,5811
LACTB2-AS1,12,7,10,10,14,6,1,6,5,1,0,2
LACTB2,414,821,576,689,606,575,204,138,152,169,149,179
RN7SL19P,1,1,0,1,1,0,0,0,0,0,0,0
XKR9,9,17,4,13,6,4,0,0,0,0,0,0
EYA1,0,0,0,0,0,0,0,0,0,0,0,1
LOC124900257,0,0,0,0,0,0,0,0,0,0,0,0
MSC-AS1,0,0,1,0,0,0,275,222,376,300,387,294
MSC,0,0,0,0,0,0,332,249,558,124,406,237
RPS20P20,0,0,0,0,0,0,0,0,0,0,2,0
TRPA1,0,1,0,0,0,0,46,44,90,32,72,60
RNA5SP271,0,0,0,0,0,0,0,0,0,0,0,0
LOC100129527,0,0,0,0,0,0,0,0,0,0,0,0
KCNB2,0,0,0,0,0,0,0,0,0,0,3,0
LOC101926908,0,0,0,0,0,0,0,0,0,0,0,0
TERF1,515,919,730,785,807,760,464,317,396,439,462,511
RNU6-285P,0,0,0,0,0,0,0,0,0,0,0,0
SBSPON,6,16,6,13,11,10,5,9,13,12,14,6
C8orf89,0,0,0,0,0,0,0,0,0,0,0,0
RPL7,10269,16507,14865,23832,19978,19812,17629,15711,20016,17347,20980,18735
RDH10,320,725,516,447,524,436,226,198,228,341,258,197
RDH10-AS1,16,11,13,4,9,8,0,0,0,0,2,1
STAU2-AS1,2,5,4,4,3,2,0,0,1,0,0,1
STAU2,668,1232,1088,953,1032,1015,416,334,433,487,535,442
UBE2W,307,609,435,470,484,478,322,339,403,470,414,397
RN7SL760P,0,0,0,0,0,0,0,0,0,0,0,0
GYG1P1,0,0,0,1,0,0,0,0,0,0,1,0
ELOC,937,1547,1315,2193,1776,1756,1528,1464,1604,1508,1870,1750
TMEM70,272,500,392,493,350,365,664,511,724,527,673,725
DSTNP3,0,1,0,1,0,0,0,2,1,0,4,5
LY96,0,0,0,3,0,1,353,347,358,306,374,426
RNU6-1300P,0,0,0,0,0,0,0,0,0,0,0,0
LOC105375903,0,0,0,0,0,0,0,0,1,2,2,0
RPS3AP32,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-1197P,0,0,0,0,0,0,0,0,0,0,0,0
JPH1,0,0,0,0,0,0,0,0,0,0,0,0
GDAP1,42,112,67,41,40,62,4,3,4,6,2,6
MIR5681A,0,0,0,0,0,0,0,0,0,0,0,0
MIR5681B,0,0,0,0,0,0,0,0,0,0,0,0
MIR2052HG,0,0,0,0,0,0,2,0,0,0,0,0
MIR2052,0,0,0,0,0,0,0,0,0,0,0,0
PI15,0,2,0,0,0,1,1,0,0,0,0,0
CRISPLD1,0,0,0,0,1,0,1,0,0,0,0,0
CASC9,126,226,172,112,96,105,0,0,0,0,0,0
HIGD1AP6,0,2,0,0,0,0,0,0,0,0,0,0
HNF4G,237,437,354,305,441,363,0,0,0,3,0,0
RNU2-54P,0,0,0,0,0,0,0,0,0,0,0,0
LINC01111,1,1,0,12,18,17,2,6,2,2,0,3
ZFHX4-AS1,0,1,0,0,0,0,16,12,13,25,9,14
ZFHX4,185,487,331,239,297,289,446,363,292,529,338,437
MIR3149,1,0,5,0,0,0,0,0,0,0,4,0
PEX2,507,924,749,664,685,627,509,476,538,558,511,456
RNU6-1220P,0,0,0,0,0,0,0,0,0,0,0,0
PKIA-AS1,0,0,0,0,0,0,3,1,1,0,0,1
PKIA,1,0,0,0,0,0,427,392,353,367,364,617
ZC2HC1A,116,262,195,111,93,72,171,165,202,200,168,195
