gene,ENSEMBL,chr,gene_biotype
ATAD3A,ENSG00000197785,1,protein-coding
TMEM240,ENSG00000205090,1,protein-coding
SSU72,ENSG00000160075,1,protein-coding
FNDC10,ENSG00000228594,1,protein-coding
MIB2,ENSG00000197530,1,protein-coding
MMP23B,ENSG00000189409,1,protein-coding
CDK11B,ENSG00000248333,1,protein-coding
SLC35E2B,ENSG00000189339,1,protein-coding
CDK11A,ENSG00000008128,1,protein-coding
NADK,ENSG00000008130,1,protein-coding
GNB1,ENSG00000078369,1,protein-coding
GNB1-DT,ENSG00000231050,1,ncRNA
CALML6,ENSG00000169885,1,protein-coding
TMEM52,ENSG00000178821,1,protein-coding
CFAP74,ENSG00000142609,1,protein-coding
GABRD,ENSG00000187730,1,protein-coding
PRKCZ-DT,ENSG00000226969,1,ncRNA
PRKCZ,ENSG00000067606,1,protein-coding
PRKCZ-AS1,ENSG00000182873,1,ncRNA
FAAP20,ENSG00000162585,1,protein-coding
SKI,ENSG00000157933,1,protein-coding
MORN1,ENSG00000116151,1,protein-coding
RER1,ENSG00000157916,1,protein-coding
PEX10,ENSG00000157911,1,protein-coding
PLCH2,ENSG00000149527,1,protein-coding
PANK4,ENSG00000157881,1,protein-coding
HES5,ENSG00000197921,1,protein-coding
TNFRSF14,ENSG00000157873,1,protein-coding
PRXL2B,ENSG00000157870,1,protein-coding
MMEL1,ENSG00000142606,1,protein-coding
MMEL1-AS1,ENSG00000237058,1,ncRNA
TTC34,ENSG00000215912,1,protein-coding
ACTRT2,ENSG00000169717,1,protein-coding
PRDM16-DT,ENSG00000177133,1,ncRNA
PRDM16,ENSG00000142611,1,protein-coding
MIR4251,ENSG00000283572,1,ncRNA
ARHGEF16,ENSG00000130762,1,protein-coding
MEGF6,ENSG00000162591,1,protein-coding
MIR551A,ENSG00000207776,1,ncRNA
TPRG1L,ENSG00000158109,1,protein-coding
WRAP73,ENSG00000116213,1,protein-coding
TP73,ENSG00000078900,1,protein-coding
TP73-AS2,ENSG00000235131,1,ncRNA
CCDC27,ENSG00000162592,1,protein-coding
SMIM1,ENSG00000235169,1,protein-coding
LRRC47,ENSG00000130764,1,protein-coding
RN7SL574P,ENSG00000266075,1,pseudo
CEP104,ENSG00000116198,1,protein-coding
DFFB,ENSG00000169598,1,protein-coding
C1orf174,ENSG00000198912,1,protein-coding
LINC01134,ENSG00000236423,1,ncRNA
LINC01345,ENSG00000226374,1,ncRNA
LINC02780,ENSG00000284668,1,ncRNA
EEF1DP6,ENSG00000229280,1,pseudo
LINC01777,ENSG00000235054,1,ncRNA
LINC01646,ENSG00000232596,1,ncRNA
AJAP1,ENSG00000196581,1,protein-coding
LINC02781,ENSG00000284674,1,ncRNA
MIR4689,ENSG00000264101,1,ncRNA
NPHP4,ENSG00000131697,1,protein-coding
KCNAB2,ENSG00000069424,1,protein-coding
CHD5,ENSG00000116254,1,protein-coding
RPL22,ENSG00000116251,1,protein-coding
RNF207,ENSG00000158286,1,protein-coding
ICMT,ENSG00000116237,1,protein-coding
ICMT-DT,ENSG00000225077,1,ncRNA
HES3,ENSG00000173673,1,protein-coding
GPR153,ENSG00000158292,1,protein-coding
ACOT7,ENSG00000097021,1,protein-coding
HES2,ENSG00000069812,1,protein-coding
ESPN,ENSG00000187017,1,protein-coding
MIR4252,ENSG00000265392,1,ncRNA
TNFRSF25,ENSG00000215788,1,protein-coding
PLEKHG5,ENSG00000171680,1,protein-coding
NOL9,ENSG00000162408,1,protein-coding
RNU6-731P,ENSG00000253022,1,pseudo
TAS1R1,ENSG00000173662,1,protein-coding
ZBTB48,ENSG00000204859,1,protein-coding
KLHL21,ENSG00000162413,1,protein-coding
PHF13,ENSG00000116273,1,protein-coding
THAP3,ENSG00000041988,1,protein-coding
DNAJC11,ENSG00000007923,1,protein-coding
CAMTA1,ENSG00000171735,1,protein-coding
RPL37P9,ENSG00000227950,1,pseudo
CAMTA1-AS3,ENSG00000237365,1,ncRNA
RNU1-8P,ENSG00000207056,1,pseudo
VAMP3,ENSG00000049245,1,protein-coding
PER3,ENSG00000049246,1,protein-coding
UTS2,ENSG00000049247,1,protein-coding
TNFRSF9,ENSG00000049249,1,protein-coding
PARK7,ENSG00000116288,1,protein-coding
ERRFI1,ENSG00000116285,1,protein-coding
LOC100129776,ENSG00000229305,1,pseudo
RNU1-7P,ENSG00000200975,1,pseudo
RNU6-991P,ENSG00000251977,1,pseudo
SLC45A1,ENSG00000162426,1,protein-coding
RERE,ENSG00000142599,1,protein-coding
LOC124900452,ENSG00000221083,1,snoRNA
RPL7P11,ENSG00000234619,1,pseudo
RPL7P7,ENSG00000224315,1,pseudo
RPL27P3,ENSG00000226545,1,pseudo
ENO1,ENSG00000074800,1,protein-coding
MIR6728,ENSG00000274258,1,ncRNA
ENO1-AS1,ENSG00000230679,1,ncRNA
RNU6-304P,ENSG00000201725,1,pseudo
CA6,ENSG00000131686,1,protein-coding
RN7SL451P,ENSG00000265141,1,pseudo
SLC2A7,ENSG00000197241,1,protein-coding
SLC2A5,ENSG00000142583,1,protein-coding
LOC124900441,ENSG00000252404,1,ncRNA
GPR157,ENSG00000180758,1,protein-coding
MIR34AHG,ENSG00000228526,1,ncRNA
MIR34A,ENSG00000284357,1,ncRNA
LNCTAM34A,ENSG00000234546,1,ncRNA
H6PD,ENSG00000049239,1,protein-coding
SPSB1,ENSG00000171621,1,protein-coding
LINC02606,ENSG00000284693,1,ncRNA
RNA5SP40,ENSG00000252956,1,pseudo
SLC25A33,ENSG00000171612,1,protein-coding
RPL9P11,ENSG00000231181,1,pseudo
TMEM201,ENSG00000188807,1,protein-coding
PIK3CD,ENSG00000171608,1,protein-coding
PIK3CD-AS1,ENSG00000179840,1,ncRNA
PIK3CD-AS2,ENSG00000231789,1,ncRNA
CLSTN1,ENSG00000171603,1,protein-coding
CTNNBIP1,ENSG00000178585,1,protein-coding
LZIC,ENSG00000162441,1,protein-coding
NMNAT1,ENSG00000173614,1,protein-coding
TMEM274P,ENSG00000283611,1,pseudo
MIR5697,ENSG00000265521,1,ncRNA
RBP7,ENSG00000162444,1,protein-coding
UBE4B,ENSG00000130939,1,protein-coding
RPL21P21,ENSG00000224340,1,pseudo
PGAM1P11,ENSG00000233623,1,pseudo
RNU6-828P,ENSG00000201746,1,pseudo
KIF1B,ENSG00000054523,1,protein-coding
RNU6-37P,ENSG00000199562,1,pseudo
RN7SL731P,ENSG00000264501,1,pseudo
PGD,ENSG00000142657,1,protein-coding
CENPS-CORT,ENSG00000251503,1,protein-coding
CENPS,ENSG00000175279,1,protein-coding
CORT,ENSG00000241563,1,protein-coding
DFFA,ENSG00000160049,1,protein-coding
PEX14,ENSG00000142655,1,protein-coding
RN7SL614P,ENSG00000243267,1,pseudo
CASZ1,ENSG00000130940,1,protein-coding
HSPE1P24,ENSG00000225158,1,pseudo
CIROZ,ENSG00000175262,1,protein-coding
TARDBP,ENSG00000120948,1,protein-coding
MASP2,ENSG00000009724,1,protein-coding
SRM,ENSG00000116649,1,protein-coding
EXOSC10,ENSG00000171824,1,protein-coding
MTOR,ENSG00000198793,1,protein-coding
MTOR-AS1,ENSG00000225602,1,ncRNA
ANGPTL7,ENSG00000171819,1,protein-coding
RNU6-291P,ENSG00000207451,1,pseudo
UBIAD1,ENSG00000120942,1,protein-coding
MTCYBP45,ENSG00000224338,1,pseudo
DISP3,ENSG00000204624,1,protein-coding
LINC01647,ENSG00000235643,1,ncRNA
FBXO2,ENSG00000116661,1,protein-coding
FBXO44,ENSG00000132879,1,protein-coding
FBXO6,ENSG00000116663,1,protein-coding
MAD2L2,ENSG00000116670,1,protein-coding
DRAXIN,ENSG00000162490,1,protein-coding
AGTRAP,ENSG00000177674,1,protein-coding
C1orf167,ENSG00000215910,1,protein-coding
C1orf167-AS1,ENSG00000177553,1,ncRNA
MTHFR,ENSG00000177000,1,protein-coding
CLCN6,ENSG00000011021,1,protein-coding
NPPA,ENSG00000175206,1,protein-coding
NPPB,ENSG00000120937,1,protein-coding
SBF1P2,ENSG00000224904,1,pseudo
RNU5E-1,ENSG00000199347,1,snRNA
RNU5E-4P,ENSG00000201801,1,pseudo
KIAA2013,ENSG00000116685,1,protein-coding
PLOD1,ENSG00000083444,1,protein-coding
MFN2,ENSG00000116688,1,protein-coding
MIIP,ENSG00000116691,1,protein-coding
MIR6729,ENSG00000276869,1,ncRNA
RN7SL649P,ENSG00000243539,1,pseudo
TNFRSF8,ENSG00000120949,1,protein-coding
RNU6-777P,ENSG00000201135,1,pseudo
RPL23AP89,ENSG00000227875,1,pseudo
MIR7846,ENSG00000283789,1,ncRNA
TNFRSF1B,ENSG00000028137,1,protein-coding
MIR4632,ENSG00000263676,1,ncRNA
RPL10P17,ENSG00000225196,1,pseudo
LOC124900427,ENSG00000252969,1,pseudo
VPS13D,ENSG00000048707,1,protein-coding
SNORA59B,ENSG00000239149,17,snoRNA
LINC02766,ENSG00000229484,1,ncRNA
DHRS3,ENSG00000162496,1,protein-coding
RNU6ATAC18P,ENSG00000221340,1,pseudo
MIR6730,ENSG00000276830,1,ncRNA
AADACL4,ENSG00000204518,1,protein-coding
AADACL3,ENSG00000188984,1,protein-coding
CFAP107,ENSG00000157330,1,protein-coding
PRAMEF12,ENSG00000116726,1,protein-coding
PRAMEF1,ENSG00000116721,1,protein-coding
LINC01784,ENSG00000228338,1,ncRNA
PRAMEF11,ENSG00000239810,1,protein-coding
HNRNPCL1,ENSG00000179172,1,protein-coding
PRAMEF2,ENSG00000120952,1,protein-coding
PRAMEF4,ENSG00000243073,1,protein-coding
PRAMEF10,ENSG00000187545,1,protein-coding
PRAMEF7,ENSG00000204510,1,protein-coding
RNU6-1072P,ENSG00000207434,1,pseudo
PRAMEF6,ENSG00000232423,1,protein-coding
PRAMEF28P,ENSG00000274178,1,pseudo
PRAMEF27,ENSG00000274764,1,protein-coding
HNRNPCL3,ENSG00000277058,1,protein-coding
PRAMEF25,ENSG00000229571,1,protein-coding
PRAMEF35P,ENSG00000236179,1,pseudo
HNRNPCL2,ENSG00000275774,1,protein-coding
PRAMEF26,ENSG00000280267,1,protein-coding
HNRNPCL4,ENSG00000179412,1,protein-coding
PRAMEF9,ENSG00000204505,1,protein-coding
PRAMEF13,ENSG00000279169,1,protein-coding
PRAMEF18,ENSG00000279804,1,protein-coding
PRAMEF31P,ENSG00000250894,1,pseudo
PRAMEF5,ENSG00000270601,1,protein-coding
RNU6-771P,ENSG00000207511,1,pseudo
PRAMEF8,ENSG00000182330,1,protein-coding
PRAMEF33,ENSG00000237700,1,protein-coding
PRAMEF15,ENSG00000204501,1,protein-coding
PRAMEF14,ENSG00000204481,1,protein-coding
PRAMEF19,ENSG00000204480,1,protein-coding
PRAMEF17,ENSG00000204479,1,protein-coding
PRAMEF20,ENSG00000204478,1,protein-coding
LRRC38,ENSG00000162494,1,protein-coding
LOC107984918,ENSG00000259961,1,ncRNA
PDPN,ENSG00000162493,1,protein-coding
RNA5SP41,ENSG00000222952,1,pseudo
LOC124900446,ENSG00000253085,1,ncRNA
PRDM2,ENSG00000116731,1,protein-coding
KAZN,ENSG00000189337,1,protein-coding
RNU6-1265P,ENSG00000252151,1,pseudo
KAZN-AS1,ENSG00000234593,1,ncRNA
TMEM51-AS1,ENSG00000175147,1,ncRNA
TMEM51,ENSG00000171729,1,protein-coding
TMEM51-AS2,ENSG00000204464,1,ncRNA
FHAD1,ENSG00000142621,1,protein-coding
FHAD1-AS1,ENSG00000233485,1,ncRNA
LOC124903852,ENSG00000228140,1,ncRNA
EFHD2,ENSG00000142634,1,protein-coding
CTRC,ENSG00000162438,1,protein-coding
CELA2A,ENSG00000142615,1,protein-coding
CELA2B,ENSG00000215704,1,protein-coding
CASP9,ENSG00000132906,1,protein-coding
DNAJC16,ENSG00000116138,1,protein-coding
SCARNA21B,ENSG00000251866,1,ncRNA
AGMAT,ENSG00000116771,1,protein-coding
RNU7-179P,ENSG00000252417,1,pseudo
DDI2,ENSG00000197312,1,protein-coding
RSC1A1,ENSG00000215695,1,protein-coding
PLEKHM2,ENSG00000116786,1,protein-coding
SLC25A34,ENSG00000162461,1,protein-coding
TMEM82,ENSG00000162460,1,protein-coding
FBLIM1,ENSG00000162458,1,protein-coding
UQCRHL,ENSG00000233954,1,protein-coding
RPS16P1,ENSG00000178715,1,pseudo
SPEN-AS1,ENSG00000179743,1,ncRNA
SPEN,ENSG00000065526,1,protein-coding
ZBTB17,ENSG00000116809,1,protein-coding
SRARP,ENSG00000183888,1,protein-coding
HSPB7,ENSG00000173641,1,protein-coding
CLCNKA,ENSG00000186510,1,protein-coding
FAM131C2P,ENSG00000232456,1,pseudo
CLCNKB,ENSG00000184908,1,protein-coding
FAM131C,ENSG00000185519,1,protein-coding
EPHA2,ENSG00000142627,1,protein-coding
ARHGEF19,ENSG00000142632,1,protein-coding
CPLANE2,ENSG00000132881,1,protein-coding
FBXO42,ENSG00000037637,1,protein-coding
SZRD1,ENSG00000055070,1,protein-coding
RPL22P3,ENSG00000226457,1,pseudo
SPATA21,ENSG00000187144,1,protein-coding
NECAP2,ENSG00000157191,1,protein-coding
LINC01772,ENSG00000226029,1,ncRNA
CROCCP3,ENSG00000290842,1,pseudo
RNU1-1,ENSG00000206652,1,snRNA
LINC01783,ENSG00000233421,1,ncRNA
RNU1-6P,ENSG00000277344,1,pseudo
NBPF1,ENSG00000219481,1,protein-coding
RNU1-3,ENSG00000207513,1,snRNA
LOC124903859,ENSG00000282740,1,ncRNA
CROCC,ENSG00000058453,1,protein-coding
CROCCP4,ENSG00000227684,1,pseudo
RNU1-4,ENSG00000207389,1,snRNA
MST1L,ENSG00000186715,1,pseudo
MIR3675,ENSG00000263811,1,ncRNA
LINC03126,ENSG00000228549,1,ncRNA
RNU1-5P,ENSG00000277234,1,pseudo
LOC105376805,ENSG00000238142,1,ncRNA
LOC107985101,ENSG00000235241,1,pseudo
RNU1-2,ENSG00000207005,1,snRNA
MFAP2,ENSG00000117122,1,protein-coding
ATP13A2,ENSG00000159363,1,protein-coding
SDHB,ENSG00000117118,1,protein-coding
PADI2,ENSG00000117115,1,protein-coding
LINC02783,ENSG00000204362,1,ncRNA
PADI1,ENSG00000142623,1,protein-coding
PADI3,ENSG00000142619,1,protein-coding
MIR3972,ENSG00000266634,1,ncRNA
PADI4,ENSG00000159339,1,protein-coding
PADI6,ENSG00000276747,1,protein-coding
RCC2-AS1,ENSG00000227751,1,ncRNA
RCC2,ENSG00000179051,1,protein-coding
ARHGEF10L,ENSG00000074964,1,protein-coding
LINC02810,ENSG00000236648,1,ncRNA
ACTL8,ENSG00000117148,1,protein-coding
LINC01654,ENSG00000261781,1,ncRNA
IGSF21,ENSG00000117154,1,protein-coding
KLHDC7A,ENSG00000179023,1,protein-coding
PAX7,ENSG00000009709,1,protein-coding
TAS1R2,ENSG00000179002,1,protein-coding
ALDH4A1,ENSG00000159423,1,protein-coding
MIR4695,ENSG00000265606,1,ncRNA
MIR1290,ENSG00000221662,1,ncRNA
IFFO2,ENSG00000169991,1,protein-coding
UBR4,ENSG00000127481,1,protein-coding
EMC1-AS1,ENSG00000230424,1,ncRNA
EMC1,ENSG00000127463,1,protein-coding
MRTO4,ENSG00000053372,1,protein-coding
AKR7L,ENSG00000211454,1,protein-coding
AKR7A3,ENSG00000162482,1,protein-coding
AKR7A2,ENSG00000053371,1,protein-coding
RNU6-1099P,ENSG00000200403,1,pseudo
SLC66A1,ENSG00000040487,1,protein-coding
CAPZB,ENSG00000077549,1,protein-coding
MICOS10,ENSG00000173436,1,protein-coding
RNU4-28P,ENSG00000201609,1,pseudo
MICOS10-DT,ENSG00000235185,1,ncRNA
NBL1,ENSG00000158747,1,protein-coding
HTR6,ENSG00000158748,1,protein-coding
TMCO4,ENSG00000162542,1,protein-coding
RNF186,ENSG00000178828,1,protein-coding
RNF186-AS1,ENSG00000235434,1,ncRNA
OTUD3,ENSG00000169914,1,protein-coding
PLA2G2E,ENSG00000188784,1,protein-coding
RN7SL304P,ENSG00000242688,1,pseudo
PLA2G2A,ENSG00000188257,1,protein-coding
PLA2G5,ENSG00000127472,1,protein-coding
PLA2G2D,ENSG00000117215,1,protein-coding
PLA2G2F,ENSG00000158786,1,protein-coding
LOC117779438,ENSG00000227066,1,ncRNA
PLA2G2C,ENSG00000187980,1,protein-coding
UBXN10,ENSG00000162543,1,protein-coding
LINC01757,ENSG00000228105,1,ncRNA
VWA5B1,ENSG00000158816,1,protein-coding
LOC124903871,ENSG00000284641,1,ncRNA
CAMK2N1,ENSG00000162545,1,protein-coding
MUL1,ENSG00000090432,1,protein-coding
RPS4XP4,ENSG00000215520,1,pseudo
FAM43B,ENSG00000183114,1,protein-coding
CDA,ENSG00000158825,1,protein-coding
PINK1,ENSG00000158828,1,protein-coding
MIR6084,ENSG00000284005,1,ncRNA
PINK1-AS,ENSG00000117242,1,ncRNA
DDOST,ENSG00000244038,1,protein-coding
KIF17,ENSG00000117245,1,protein-coding
SH2D5,ENSG00000189410,1,protein-coding
HP1BP3,ENSG00000127483,1,protein-coding
EIF4G3,ENSG00000075151,1,protein-coding
RNU7-200P,ENSG00000251914,1,pseudo
MIR1256,ENSG00000221808,1,ncRNA
RPS15AP6,ENSG00000233072,1,pseudo
HSPE1P27,ENSG00000235112,1,pseudo
ECE1,ENSG00000117298,1,protein-coding
ECE1-AS1,ENSG00000231105,1,ncRNA
NBPF3,ENSG00000142794,1,protein-coding
ALPL,ENSG00000162551,1,protein-coding
LINC02596,ENSG00000233431,1,ncRNA
RAP1GAP,ENSG00000076864,1,protein-coding
USP48,ENSG00000090686,1,protein-coding
LDLRAD2,ENSG00000187942,1,protein-coding
HSPG2,ENSG00000142798,1,protein-coding
RPL21P29,ENSG00000232037,1,pseudo
CELA3B,ENSG00000219073,1,protein-coding
RN7SL386P,ENSG00000273610,1,pseudo
RNU6-1022P,ENSG00000201919,1,pseudo
CELA3A,ENSG00000142789,1,protein-coding
RN7SL186P,ENSG00000278124,1,pseudo
RNU6-776P,ENSG00000201273,1,pseudo
LINC01635,ENSG00000228397,1,ncRNA
LINC00339,ENSG00000218510,1,ncRNA
CDC42,ENSG00000070831,1,protein-coding
WNT4,ENSG00000162552,1,protein-coding
MIR4418,ENSG00000266564,1,ncRNA
ZBTB40,ENSG00000184677,1,protein-coding
EPHA8,ENSG00000070886,1,protein-coding
MIR6127,ENSG00000276835,1,ncRNA
C1QA,ENSG00000173372,1,protein-coding
C1QC,ENSG00000159189,1,protein-coding
C1QB,ENSG00000173369,1,protein-coding
EPHB2,ENSG00000133216,1,protein-coding
MIR4684,ENSG00000265422,1,ncRNA
MIR4253,ENSG00000264014,1,ncRNA
LACTBL1,ENSG00000215906,1,protein-coding
TEX46,ENSG00000227868,1,protein-coding
KDM1A,ENSG00000004487,1,protein-coding
MIR3115,ENSG00000263793,1,ncRNA
LUZP1,ENSG00000169641,1,protein-coding
RNU6-514P,ENSG00000206935,1,pseudo
RNU6-135P,ENSG00000252578,1,pseudo
HTR1D,ENSG00000179546,1,protein-coding
HNRNPR,ENSG00000125944,1,protein-coding
ZNF436,ENSG00000125945,1,protein-coding
ZNF436-AS1,ENSG00000249087,1,ncRNA
TCEA3,ENSG00000204219,1,protein-coding
ASAP3,ENSG00000088280,1,protein-coding
E2F2,ENSG00000007968,1,protein-coding
ID3,ENSG00000117318,1,protein-coding
LOC107984928,ENSG00000285802,1,ncRNA
MDS2,ENSG00000197880,1,ncRNA
RPL11,ENSG00000142676,1,protein-coding
ELOA,ENSG00000011007,1,protein-coding
ELOA-AS1,ENSG00000236810,1,ncRNA
PITHD1,ENSG00000057757,1,protein-coding
LYPLA2,ENSG00000011009,1,protein-coding
GALE,ENSG00000117308,1,protein-coding
HMGCL,ENSG00000117305,1,protein-coding
FUCA1,ENSG00000179163,1,protein-coding
CNR2,ENSG00000188822,1,protein-coding
MIR378F,ENSG00000264926,1,ncRNA
H3P1,ENSG00000230228,1,pseudo
PNRC2,ENSG00000189266,1,protein-coding
SRSF10,ENSG00000188529,1,protein-coding
MYOM3,ENSG00000142661,1,protein-coding
IL22RA1,ENSG00000142677,1,protein-coding
IFNLR1,ENSG00000185436,1,protein-coding
LINC02800,ENSG00000230023,1,ncRNA
GRHL3,ENSG00000158055,1,protein-coding
STPG1,ENSG00000001460,1,protein-coding
NIPAL3,ENSG00000001461,1,protein-coding
RCAN3,ENSG00000117602,1,protein-coding
NCMAP,ENSG00000184454,1,protein-coding
RPL26P8,ENSG00000227312,1,pseudo
SRRM1,ENSG00000133226,1,protein-coding
CLIC4,ENSG00000169504,1,protein-coding
RNU6-1208P,ENSG00000238482,1,pseudo
RUNX3,ENSG00000020633,1,protein-coding
MIR6731,ENSG00000278034,1,ncRNA
MIR4425,ENSG00000264371,1,ncRNA
SYF2,ENSG00000117614,1,protein-coding
RSRP1,ENSG00000117616,1,protein-coding
RHD,ENSG00000187010,1,protein-coding
TMEM50A,ENSG00000183726,1,protein-coding
RHCE,ENSG00000188672,1,protein-coding
MACO1,ENSG00000204178,1,protein-coding
LDLRAP1,ENSG00000157978,1,protein-coding
MAN1C1,ENSG00000117643,1,protein-coding
SELENON,ENSG00000162430,1,protein-coding
MTFR1L,ENSG00000117640,1,protein-coding
AUNIP,ENSG00000127423,1,protein-coding
PAQR7,ENSG00000182749,1,protein-coding
STMN1,ENSG00000117632,1,protein-coding
MIR3917,ENSG00000283938,1,ncRNA
PAFAH2,ENSG00000158006,1,protein-coding
RNU6-110P,ENSG00000207237,1,pseudo
LOC124900433,ENSG00000252691,1,ncRNA
EXTL1,ENSG00000158008,1,protein-coding
SLC30A2,ENSG00000158014,1,protein-coding
TRIM63,ENSG00000158022,1,protein-coding
PDIK1L,ENSG00000175087,1,protein-coding
FAM110D,ENSG00000197245,1,protein-coding
C1orf232,ENSG00000282872,1,protein-coding
ZNF593OS,ENSG00000236782,1,protein-coding
ZNF593,ENSG00000142684,1,protein-coding
CNKSR1,ENSG00000142675,1,protein-coding
CATSPER4,ENSG00000188782,1,protein-coding
CEP85,ENSG00000130695,1,protein-coding
MRPS6P1,ENSG00000270733,1,pseudo
SH3BGRL3,ENSG00000142669,1,protein-coding
UBXN11,ENSG00000158062,1,protein-coding
CD52,ENSG00000169442,1,protein-coding
CRYBG2,ENSG00000176092,1,protein-coding
RPL34P4,ENSG00000225854,1,pseudo
ZNF683,ENSG00000176083,1,protein-coding
LIN28A,ENSG00000131914,1,protein-coding
DHDDS,ENSG00000117682,1,protein-coding
RPL17P9,ENSG00000223583,1,pseudo
LOC124903883,ENSG00000225891,1,ncRNA
HMGN2,ENSG00000198830,1,protein-coding
RPS6KA1,ENSG00000117676,1,protein-coding
MIR1976,ENSG00000238705,1,ncRNA
RN7SL679P,ENSG00000243905,1,pseudo
LOC124904769,ENSG00000252429,1,snRNA
LOC124904813,ENSG00000238316,1,snoRNA
ARID1A,ENSG00000117713,1,protein-coding
PIGV,ENSG00000060642,1,protein-coding
RN7SL165P,ENSG00000241188,1,pseudo
ZDHHC18,ENSG00000204160,1,protein-coding
SFN,ENSG00000175793,1,protein-coding
GPN2,ENSG00000142751,1,protein-coding
GPATCH3,ENSG00000198746,1,protein-coding
NUDC,ENSG00000090273,1,protein-coding
NR0B2,ENSG00000131910,1,protein-coding
KDF1,ENSG00000175707,1,protein-coding
RPL32P6,ENSG00000224064,1,pseudo
OSTCP2,ENSG00000225294,1,protein-coding
TRNP1,ENSG00000253368,1,protein-coding
TENT5B,ENSG00000158246,1,protein-coding
SLC9A1,ENSG00000090020,1,protein-coding
RPL18AP5,ENSG00000229985,1,pseudo
NPM1P39,ENSG00000225159,1,pseudo
WDTC1,ENSG00000142784,1,protein-coding
TMEM222,ENSG00000186501,1,protein-coding
RNU6-48P,ENSG00000206888,1,pseudo
SYTL1,ENSG00000142765,1,protein-coding
MAP3K6,ENSG00000142733,1,protein-coding
FCN3,ENSG00000142748,1,protein-coding
CD164L2,ENSG00000174950,1,protein-coding
GPR3,ENSG00000181773,1,protein-coding
WASF2,ENSG00000158195,1,protein-coding
LOC105376892,ENSG00000237429,1,ncRNA
AHDC1,ENSG00000126705,1,protein-coding
FGR,ENSG00000000938,1,protein-coding
IFI6,ENSG00000126709,1,protein-coding
RNU6-949P,ENSG00000206767,1,pseudo
CHMP1AP1,ENSG00000226662,1,pseudo
